application,
Data Element Name,Type
id,varchar(36)
patent_id,varchar(20)
type,varchar(20)
number,varchar(64)
country,varchar(20)
date,date
series_code,varchar(20)
assignee,
Data Element Name,Type
id,varchar(36)
type,int(4)
name_first,varchar(96)
name_last,varchar(96)
organization,varchar(256)
botanic,
Data Element Name,Type
uuid,varchar(36)
patent_id,varchar(20)
latin_name,varchar(128)
variety,varchar(128)
brf_sum_text,
Data Element Name,Type
uuid,varchar(36)
patent_id,varchar(20)
text,mediumtext
claim,
Data Element Name,Type
uuid,varchar(36)
patent_id,varchar(20)
text,mediumtext
dependent,varchar(512)
sequence,int(11)
claim_number,varchar(10)
exemplary,int(11)
cpc_current,
Data Element Name,Type
uuid,varchar(36)
patent_id,varchar(20)
section_id,varchar(10)
subsection_id,varchar(20)
group_id,varchar(20)
subgroup_id,varchar(20)
category,varchar(36)
sequence,int(11)
cpc_group,
Data Element Name,Type
id,varchar(20)
title,varchar(256)
cpc_subgroup,
Data Element Name,Type
id,varchar(20)
title,mediumtext
cpc_subsection,
Data Element Name,Type
id,varchar(20)
title,varchar(256)
detail_desc_text,
Data Element Name,Type
patent_id,varchar(20)
text,mediumtext
length,int(10)
draw_desc_text,
Data Element Name,Type
uuid,varchar(36)
patent_id,varchar(20)
text,mediumtext
sequence,int(10)
figures,
Data Element Name,Type
uuid,varchar(36)
patent_id,varchar(20)
num_figures,int(11)
num_sheets,int(11)
foreign_priority,
Data Element Name,Type
uuid,varchar(36)
patent_id,varchar(20)
sequence,int(11)
kind,varchar(20)
number,varchar(64)
date,date
country,varchar(20)
country_transformed,varchar(10)
foreigncitation,
Data Element Name,Type
uuid,varchar(36)
patent_id,varchar(20)
date,date
number,varchar(64)
country,varchar(10)
category,varchar(20)
sequence,int(11)
government_interest,
Data Element Name,Type
patent_id,varchar(255)
gi_statement,mediumtext
government_organization,
Data Element Name,Type
organization_id,int(11)
name,varchar(255)
level_one,varchar(255)
level_two,varchar(255)
level_three,varchar(255)
inventor,
Data Element Name,Type
id,varchar(80)
name_first,varchar(72)
name_last,varchar(72)
male_flag,int(11)
attribution_status,int(11)
ipcr,
Data Element Name,Type
uuid,varchar(36)
patent_id,varchar(20)
classification_level,varchar(20)
section,varchar(20)
ipc_class,varchar(20)
subclass,varchar(20)
main_group,varchar(20)
